Cleaned institution name,Institution ID,Homepage,Country (ISO2),Head institution
Royal Belgian Institute of Natural Sciences (RBINS),663,https://www.naturalsciences.be/,BE,Royal Belgian Institute of Natural Sciences (RBINS)
Flanders Marine Institute (VLIZ),683,https://vliz.be/,BE,Flanders Marine Institute (VLIZ)
European Commission,717,https://commission.europa.eu/,BE,European Union
Network of European Regions Using Space Technologies (NEREUS),746,https://www.nereus-regions.eu/,BE,Network of European Regions Using Space Technologies (NEREUS)
European Association of Remote Sensing Companies (EARSC),748,https://earsc.org/,BE,European Association of Remote Sensing Companies (EARSC)
Pensoft Publishers,817,https://pensoft.net/,BE,Pensoft Publishers
TIMELEX,909,https://www.timelex.eu/,BE,TIMELEX
Global E-Sustainability Initiative (GESI),910,https://www.gesi.org/,BE,Global Enabling Sustainability Initiative (GESI)
Institute of Biodiversity and Ecosystem Research at the Bulgarian Academy of Sciences,457,http://www.iber.bas.bg/,BG,Bulgarian Academy of Sciences
Institute of Oceanology Bulgarian Academy of Sciences,499,https://www.bas.bg/?page_id=24441&lang=en,BG,Bulgarian Academy of Sciences
Federal University of Rio de Janeiro (UFRJ),217,https://ufrj.br/en/,BR,Federal University of Rio de Janeiro (UFRJ)
Pereira Passos Institute,302,https://ipp.prefeitura.rio/,BR,Pereira Passos Institute
University of Sao Paulo (USP),450,https://www5.usp.br/,BR,University of Sao Paulo (USP)
Federal University of Rio Grande do Norte (UFRN),451,https://ufrn.br/en,BR,Federal University of Rio Grande do Norte (UFRN)
Federal University of Pará (UFPA),768,https://ufpa.br/,BR,Federal University of Pará (UFPA)
Federal University of Rio Grande do Sul,794,https://www.ufrgs.br/,BR,Federal University of Rio Grande do Sul
Federal University of Rio de Janeiro (UFRJ),835,https://ufrj.br/en/,BR,Federal University of Rio de Janeiro (UFRJ)
Petrobras,836,https://petrobras.com.br/,BR,Petrobras
Recife Center for Advanced Studies and Systems (CESAR),837,https://www.cesar.org.br/,BR,Recife Center for Advanced Studies and Systems (CESAR)
Ocean Networks Canada (ONC),184,https://www.oceannetworks.ca,CA,University of Victoria
Wolastoqey Nation in New Brunswick (WNNB),191,https://wnnb.wolastoqey.ca,CA,Wolastoqey Nation in New Brunswick (WNNB)
"Marine Environmental Observation, Prediction and Response Network (MEOPAR)",196,https://meopar.ca/,CA,"Marine Environmental Observation, Prediction and Response Network (MEOPAR)"
River Institute ,445,https://riverinstitute.ca/,CA,River Institute 
University of British Colombia,452,https://www.ubc.ca/,CA,University of British Colombia
University of British Colombia,459,https://www.ubc.ca/,CA,University of British Colombia
Pacific Marine Analysis and Research Association (PacMARA),720,https://my.charitableimpact.com/charities/pacific-marine-analysis-and-research-association,CA,Pacific Marine Analysis and Research Association (PacMARA)
University of New Brunswick,772,https://www.unb.ca/,CA,University of New Brunswick
Canadian Shellfish Sanitation Program (CSSP),774,https://inspection.canada.ca/en/preventive-controls/fish/cssp,CA,Canadian Shellfish Sanitation Program (CSSP)
"Canadian Food Inspection Agency 
(CFIA)",775,https://inspection.canada.ca/en,CA,"Canadian Food Inspection Agency 
(CFIA)"
Environmental and Climate Change Canada (ECCC),776,https://www.canada.ca/en/environment-climate-change.html,CA,Environmental and Climate Change Canada (ECCC)
Fisheries and Oceans Canada (DFO),777,http://www.dfo-mpo.gc.ca/index-eng.htm,CA,Fisheries and Oceans Canada (DFO)
University of Victoria,778,https://www.uvic.ca/,CA,University of Victoria
Swiss Federal Institute of Techlogy Zurich (ETHZ),109,https://ethz.ch/,CH,Swiss Federal Institute of Techlogy Zurich (ETHZ)
International Federation of Red Cross and Red Crescent Societies (IFRC),288,https://www.ifrc.org/,CH,International Federation of Red Cross and Red Crescent Societies (IFRC)
Photrack Ag,384,https://www.photrack.ch/,CH,Photrack Ag
Mondaic,412,https://www.mondaic.com/,CH,Mondaic
Photrack Ag,695,https://www.photrack.ch/,CH,Photrack Ag
Biodiversity and Protected Areas Management Programme (BIOPAMA),716,https://biopama.org/,CH,Biodiversity and Protected Areas Management Programme (BIOPAMA)
Resilience Guard (RG),758,https://www.resilienceguard.ch/,CH,Resilience Guard (RG)
Resilience Guard (RG),889,https://www.resilienceguard.ch/,CH,Resilience Guard (RG)
Heritage and Archeology Office of Neuchâtel,931,https://www.ne.ch/,CH,Canton of Neuchâtel
Swiss Center for Electronics and Microtechnology (CSEM),932,https://www.csem.ch/en/,CH,Swiss Center for Electronics and Microtechnology (CSEM)
Alpes Lasers,933,https://www.alpeslasers.ch/,CH,Alpes Lasers
Ministry of Marine Resources of Cook Islands,323,https://mmr.gov.ck/,CK,Government of Cook Islands
Humboldt II Project,246,https://proyectohumboldt2.org/,CL,Humboldt II Project
Harbin Engineering University,4,https://english.hrbeu.edu.cn/,CN,Harbin Engineering University
Shanghai Ocean University (SOU),5,https://www.shou.edu.cn/eng/,CN,Shanghai Ocean University (SOU)
CNFC Overseas Fisheries Co.,6,http://www.cofc.com.cn/,CN,CNFC Overseas Fisheries Co.
Donghai Navigation Safety Administration,7,,CN,Government of China
Fuzhou Data Administration,8,https://www.fujian.gov.cn/english/,CN,Government of China
China State Shipbuilding Corporation Limited (CSSC),9,https://www.chinaships.com/,CN,China State Shipbuilding Corporation Limited (CSSC)
China National Offshore Oil Corporation,36,https://www.cnoocltd.com/english/,CN,China National Offshore Oil Corporation
Xiameng University,37,https://en.xmu.edu.cn/,CN,Xiameng University 
